"","producto","precio","tienda","tipo"
"37","CUAD.PROARTE LISO TAPA EMPLAC. 100 HJ CO",1690,"NACIONAL","CUADERNO"
"38","Cuaderno  College Caligrafía Horizontal Artel",1290,"NACIONAL","CUADERNO"
"39","Cuaderno A4 Línea Azul Fabriano",5190,"NACIONAL","CUADERNO"
"40","Cuaderno Book 120 Hojas Boxer Diseño Aleatorio Foroni",3190,"NACIONAL","CUADERNO"
"41","Cuaderno Carta 7mm. Fútbol Rhein",4690,"NACIONAL","CUADERNO"
"42","Cuaderno Carta 7mm. Lamborghini Rhein",4690,"NACIONAL","CUADERNO"
"43","Cuaderno College 100 Hojas 5mm. Artel",1290,"NACIONAL","CUADERNO"
"44","Cuaderno College 80 Hojas 7mm. Georgi",890,"NACIONAL","CUADERNO"
"45","Cuaderno College Composición 100 Hojas Artel",1290,"NACIONAL","CUADERNO"
"46","Cuaderno College Croquis 100 Hojas Artel",1290,"NACIONAL","CUADERNO"
"47","Cuaderno College Liso 100 Hojas Composición Color Aleatorio Proarte",1190,"NACIONAL","CUADERNO"
"48","Cuaderno College Liso 100 Hojas Croquis Color Aleatorio Proarte",1190,"NACIONAL","CUADERNO"
"49","LAPIZ  GRAFITO      2HB  REDONDO  1205   FABER CASTELL",170,"DIMEIGGS","GRAFITO"
"50","LAPIZ  GRAFITO  GROOVE    JUMBO    TRIANGULAR  12 UNIDADES    LYRA",750,"DIMEIGGS","GRAFITO"
"51","LAPIZ  GRAFITO  N2  HEXAGONAL       12 UNIDADES    MURANO",100,"DIMEIGGS","GRAFITO"
"52","LAPIZ  GRAFITO  IMAGIA    HB N2  HEXAGONAL  12 UNIDADES    TORRE",120,"DIMEIGGS","GRAFITO"
"53","LAPIZ  GRAFITO  JUMBO      TRIANGULAR  6 UNIDADES    MURANO",250,"DIMEIGGS","GRAFITO"
"54","LAPIZ  GRAFITO  MIRADO  CUERPOS DE COLOR N2 REDONDO 12 UN PAPER MATE",160,"DIMEIGGS","GRAFITO"
"55","LAPIZ  GRAFITO  CON GOMA  N2      6 UNIDADES    LAVORO",990,"DIMEIGGS","GRAFITO"
"56","SET  ESCOLAR  LAPICES GRAFITO  Y GOMAS DISEÑO         LAVORO",2290,"DIMEIGGS","GRAFITO"
"57","SET  ESCOLAR  LLAMA Y PEREZOSO    5  PCS     LAVORO",990,"DIMEIGGS","GRAFITO"
"58","SET  ESCOLAR  ESPACIAL     5  PCS     LAVORO",990,"DIMEIGGS","GRAFITO"
"59","SET  ESCOLAR  SIRENA    5  PCS     LAVORO",990,"DIMEIGGS","GRAFITO"
"60","SET  ESCOLAR  UNICORNIO Y ARCOIRIS    5  PCS     LAVORO",990,"DIMEIGGS","GRAFITO"
"61","LAPIZ  GRAFITO  JUMBO    2HB  TRIANGULAR  12 UNIDADES    BIC",250,"DIMEIGGS","GRAFITO"
"62","LAPIZ  GRAFITO  SUPER SOFT  BLACK  BLISTER  4 UNIDADES  FABER CASTELL",1990,"DIMEIGGS","GRAFITO"
"63","LAPIZ  GRAFITO    2HB  TRIANGULAR  1205  12 UNIDADES    FABER CASTELL",170,"DIMEIGGS","GRAFITO"
"64","LAPIZ  GRAFITO  RESINA    HB  TRIANGULAR  12 UNIDADES    MURANO",100,"DIMEIGGS","GRAFITO"
"65","LAPIZ  GRAFITO  EVOLUTION    2HB  HEXAGONAL  12 UNIDADES    BIC",140,"DIMEIGGS","GRAFITO"
"66","LAPIZ  GRAFITO      2HB  HEXAGONAL     FABER CASTELL",170,"DIMEIGGS","GRAFITO"
"67","LAPIZ  GRAFITO  TECNICO  GOLD  HB  HEXAGONAL  1221   FABER CASTELL",520,"DIMEIGGS","GRAFITO"
"68","LAPIZ GRAFITO TECNICO GOLD  3B CON GOMA HEXAGONAL 1221  FABER CASTELL",520,"DIMEIGGS","GRAFITO"
"69","LAPIZ  GRAFITO  TECNICO  GOLD  6B  HEXAGONAL  1221   FABER CASTELL",520,"DIMEIGGS","GRAFITO"
"70","LAPIZ  GRAFITO  TECNICO  GOLD  4B  HEXAGONAL     FABER CASTELL",520,"DIMEIGGS","GRAFITO"
"71","LAPIZ  GRAFITO  TECNICO  GOLD  H  HEXAGONAL  1221   FABER CASTELL",520,"DIMEIGGS","GRAFITO"
"72","LAPIZ  GRAFITO  TECNICO  GOLD  B   HEXAGONAL  1221   FABER CASTELL",520,"DIMEIGGS","GRAFITO"
"73","LAPIZ  GRAFITO      N2  REDONDO   12 UNIDADES    MURANO",100,"DIMEIGGS","GRAFITO"
"74","LAPIZ  GRAFITO  TECNICO  GOLD  2B  HEXAGONAL  1221   FABER CASTELL",520,"DIMEIGGS","GRAFITO"
"75","LAPIZ  GRAFITO  TECNICO  GOLD  5B  HEXAGONAL  1221   FABER CASTELL",520,"DIMEIGGS","GRAFITO"
"76","LAPIZ  GRAFITO  GROOVE SLIM   N2    TRIANGULAR  12 UNIDADES    LYRA",250,"DIMEIGGS","GRAFITO"
"77","LAPIZ  GRAFITO      2HB  TRIANGULAR  12 UNIDADES    MURANO",100,"DIMEIGGS","GRAFITO"
"78","LAPIZ  GRAFITO  CON GOMA    N2  HEXAGONAL   12 UNIDADES    MURANO",110,"DIMEIGGS","GRAFITO"
"79","12 Lápices Grafito HB N°2 Faber Castell",2990,"NACIONAL","GRAFITO"
"80","2 Lápices Grafito Jumbo Triangular Maped",1090,"NACIONAL","GRAFITO"
"81","Blíster 2 Bicolor 2HB/Rojo + Sacapuntas Jumbo Artel",1090,"NACIONAL","GRAFITO"
"82","Estuche 10 Lápices Bicolor 2Hb/Rojo Artel",1590,"NACIONAL","GRAFITO"
"83","Estuche 12 Lápices Grafito HB Con Goma Artel",1490,"NACIONAL","GRAFITO"
"84","Estuche 12 Lápices Grafito HB Sin Goma Artel",1390,"NACIONAL","GRAFITO"
"85","GRAFITO WRAPS ENCANTADO HEXAGONAL 4 UNID",1090,"NACIONAL","GRAFITO"
"86","GRAFITO WRAPS JUNGLA HEXAGONAL 4 UNID",1090,"NACIONAL","GRAFITO"
"87","Lápiz Grafito 2HB pastel 42 unid. Artel",NA,"NACIONAL","GRAFITO"
"88","Lapiz Grafito HB Nº2 Redondo 12 unid.",2790,"NACIONAL","GRAFITO"
"89","Set 4 Lápices Bicolor Artel",1590,"NACIONAL","GRAFITO"
"90","Set Escolar 2 Lápices Bicolor Artel",1390,"NACIONAL","GRAFITO"
"91","Set Escolar 2 Lápices Grafito Artel",1390,"NACIONAL","GRAFITO"
"92","Set Escolar Maxi Artel",1590,"NACIONAL","GRAFITO"
"93","Caja 12 ECOLápices de Grafito Jumbo Faber Castell",4990,"NACIONAL","GRAFITO"
"94","Caja 50 Lápiz Grafito Triangulares 2Hb Artel",4990,"NACIONAL","GRAFITO"
"95","Estuche 50 ECOLápices de Colores SuperSoft Faber Castell ",18990,"NACIONAL","GRAFITO"
"96","LAPICES  12  COLORES    HEXAGONALES       FABER CASTELL",2290,"DIMEIGGS","COLORES"
"97","LAPICES  12  COLORES  ECO  HEXAGONALES       FABER CASTELL",990,"DIMEIGGS","COLORES"
"98","LAPICES  24  COLORES  UNIPUNTA  HEXAGONALES       PAPER MATE",2890,"DIMEIGGS","COLORES"
"99","LAPICES  12  COLORES    HEXAGONALES       PAPER MATE",1390,"DIMEIGGS","COLORES"
"100","LAPICES  10  COLORES  METALICOS  HEXAGONALES   FABER CASTELL",2990,"DIMEIGGS","COLORES"
"101","LAPICES  60  COLORES    HEXAGONALES       FABER CASTELL",19990,"DIMEIGGS","COLORES"
"102","LAPICES  50  COLORES  STILNOVO  HEXAGONALES       GIOTTO",16990,"DIMEIGGS","COLORES"
"103","LAPICES  36  COLORES  STILNOVO  HEXAGONALES       GIOTTO",5990,"DIMEIGGS","COLORES"
"104","LAPICES  24  COLORES  STILNOVO  HEXAGONALES       GIOTTO",3790,"DIMEIGGS","COLORES"
"105","LAPICES  6  COLORES  NEON  HEXAGONALES       PAPER MATE",1350,"DIMEIGGS","COLORES"
"106","LAPICES  12  COLORES  IMAGIA  HEXAGONALES       TORRE",2690,"DIMEIGGS","COLORES"
"107","LAPICES  12  COLORES  JUMBO  HEXAGONALES       MURANO",2290,"DIMEIGGS","COLORES"
"108","LAPICES  24  COLORES    HEXAGONALES       MURANO",1150,"DIMEIGGS","COLORES"
"109","LAPICES  12  COLORES    HEXAGONALES       MURANO",5990,"DIMEIGGS","COLORES"
"110","LAPICES  12  COLORES  PEKES  HEXAGONALES       TORRE",NA,"DIMEIGGS","COLORES"
"111","12 Lápices de Color Largos Artel ",1590,"NACIONAL","COLORES"
"112","24 Lápices de Color Largos Hexagonales Faber Castell ",6890,"NACIONAL","COLORES"
"113","48 Lápices de Colores Color Peps Maped",NA,"NACIONAL","COLORES"
"114","Estuche 12 Lápices Acuarelables Artel",1990,"NACIONAL","COLORES"
"115","Estuche 12 Lápices Bicolores Artel",2490,"NACIONAL","COLORES"
"116","Estuche 12 Lápices de Colores Con Goma Maped",1990,"NACIONAL","COLORES"
"117","Estuche 12 Lápices de Colores Cortos Artel",890,"NACIONAL","COLORES"
"118","Estuche 12 Lápices de Colores Maped",2390,"NACIONAL","COLORES"
"119","Estuche 12 Lápices de Colores Maxi Maped",NA,"NACIONAL","COLORES"
"120","Estuche 12 Lápices Duo 24 Colores Maped",3690,"NACIONAL","COLORES"
"121","Estuche 12 Maxi Lápices de Colores Artel",2990,"NACIONAL","COLORES"
"122","Estuche 24 Lápices de Colores Largos Artel",3190,"NACIONAL","COLORES"
"123","Estuche 24 Lápices de Colores Largos Maped",4590,"NACIONAL","COLORES"
"124","Estuche 36 Lápices de Colores Largos Maped",7890,"NACIONAL","COLORES"
"125","Estuche Metálico 48 Lápices Acuarelables Maped",20990,"NACIONAL","COLORES"
"126","Lápices de Color 60 Colores",20990,"NACIONAL","COLORES"
"127","Lápices de Color Grip 12 Colores",3490,"NACIONAL","COLORES"
"128","Lapiz Acuarelable  Grip Caja  24 Colores",7890,"NACIONAL","COLORES"
"129","Mi Kit para Colorear Maped",NA,"NACIONAL","COLORES"
"130","24 Lápices Bicolor 48 Colores Faber Castell",11590,"NACIONAL","COLORES"
"131","Estuche Metálico 48 Lápices de Colores Maped",NA,"NACIONAL","COLORES"
"132","Estuche metalico Jolly lapiz 48 colores",26290,"NACIONAL","COLORES"
"133","Maleta Regalo 65 Piezas Artel",14990,"NACIONAL","COLORES"
"134","LAPIZ PASTA INKJOY PUNTA MEDIA BLISTER  3 UNIDADES 1 MM PAPER MATE",1190,"DIMEIGGS","PASTA"
"135","LAPIZ TINTA GEL INKJOY PUNTA FINA BLISTER 4 UNIDADES 0,7MM PAPER MATE",3990,"DIMEIGGS","PASTA"
"136","SET UNIVERSITARIO DE PAPER MATER BLISTER ",3100,"DIMEIGGS","PASTA"
"137","LP LÁPIZ CORRECTOR + 3 BOLIGRAFOS COLORES BÁSICOS",2190,"DIMEIGGS","PASTA"
"138","BOLIGRAFO FLAIR CANDY POP 24 UNIDADES",12990,"DIMEIGGS","PASTA"
"139","FLAIR CANDY POP MEDIUM 6/CD",3350,"DIMEIGGS","PASTA"
"140","LAPIZ  PASTA  INKJOY PUNTA FINA ROJO CAJA 12 UN 0,7 MM PAPER MATE",190,"DIMEIGGS","PASTA"
"141","LAPIZ PASTA INKJOY PUNTA FINA NEGRO CAJA 12 UN 0,7 MM PAPER MATE",190,"DIMEIGGS","PASTA"
"142","MARCADOR STABILO POINT 88 ROJO",600,"DIMEIGGS","PASTA"
"143","BOLIGRAFO GEL INKJOY NEGRO 400 ST PAPER MATE        PAPERMATE",2990,"DIMEIGGS","PASTA"
"144","BOLIGRAFO GEL INKJOY ROJO 400 ST PAPER MATE        PAPERMATE",230,"DIMEIGGS","PASTA"
"145","BOLIGRAFO GEL INKJOY AZUL 400 ST PAPER MATE        PAPERMATE",190,"DIMEIGGS","PASTA"
"146","LAPIZ PASTA CRISTAL PUNTA MEDIA COLORES SURTIDOS CAJA 12 UN 1,2 MM BIC",150,"DIMEIGGS","PASTA"
"147","LAPIZ  PASTA  CRISTAL  PUNTA MEDIA   VERDE  1 UNIDAD   1  MM BIC",2490,"DIMEIGGS","PASTA"
"148","LAPIZ PASTA INKJOY PUNTA MEDIA COLORES CAJA 12 UN  1 MM PAPER MATE",2490,"DIMEIGGS","PASTA"
"149","LAPIZ  PASTA PUNTA METALICA PUNTA MEDIA NEGRO CAJA 50 UN 1 MM MURANO",1690,"DIMEIGGS","PASTA"
"150","BOLIGRAFO PATAGONIA NEGRO EN CAJA LAVORO",2490,"DIMEIGGS","PASTA"
"151","BOLIGRAFO PATAGONIA ARENA EN CAJA LAVORO",2690,"DIMEIGGS","PASTA"
"152","BOLIGRAFO ACHAO ARENA EN CAJA",2490,"DIMEIGGS","PASTA"
"153","BOLIGRAFO PATAGONIA ORO EN CAJA LAVORO",2690,"DIMEIGGS","PASTA"
"154","BOLIGRAFO CHILOE NEGRO EN CAJA LAVORO",8490,"DIMEIGGS","PASTA"
"155","BOLIGRAFO TORRES DEL PAINE ORO ROSA EN CAJA LAVORO",1390,"DIMEIGGS","PASTA"
"156","BOLIGRAFO CHILOE ORO EN CAJA LAVORO",1690,"DIMEIGGS","PASTA"
"157","BOLIGRAFO PARKER JOTTER ACERO ",4290,"DIMEIGGS","PASTA"
"158","LAPIZ  PASTA  TRILUX 035  PUNTA FINA   AZUL    0,8  MM FABER CASTELL",1590,"DIMEIGGS","PASTA"
"159","BOLIGRAFO TRILUX PUNTA MEDIA ROJO-AZUL-NEGRO 3UN 1MM FABER CASTELL",250,"DIMEIGGS","PASTA"
"160","BOLIGRAFO TRILUX PUNTA MEDIA PASTEL BLISTER 6UN 1MM FABER CASTELL",NA,"DIMEIGGS","PASTA"
"161","BOLIGRAFO TRILUX PUNTA MEDIA COLORES BLISTER 10 UN 1 MM  FABER CASTELL",NA,"DIMEIGGS","PASTA"
"162","LAPIZ PASTA PTA MEDIA 4EN1 FASHION 1 UN",NA,"DIMEIGGS","PASTA"
"163","LAPIZ  PASTA  NEW ORANGE   PUNTA FINA   AZUL   1 UNIDAD   0,8  MM BIC",NA,"DIMEIGGS","PASTA"
"164","Blíster 2 Bolígrafo Gel Inkjoy Surtido 0,7mm. Paper Mate",4790,"NACIONAL","PASTA"
"165","Blister 2 Bolígrafos Inkjoy Gel Azul 0,7mm. Paper Mate",4790,"NACIONAL","PASTA"
"166","Blister 2 Roller Energel 0,5mm. Negro / Azul Pentel ",3890,"NACIONAL","PASTA"
"167","Blister 2 Roller Energel 0,7mm. Negro / Azul Pentel ",3890,"NACIONAL","PASTA"
"168","Blister 3 Bolígrafo Punta Fina Azul Bic ",1490,"NACIONAL","PASTA"
"169","Blíster 3 Marcador Metálico Bronce Silver GoldSharpie ",4190,"NACIONAL","PASTA"
"170","Blíster 4 Bolígrafo Flair Paper Mate",3290,"NACIONAL","PASTA"
"171","Blíster 4 Bolígrafo Ice Azul Rojo Verde Negro 1mm. Maped",1190,"NACIONAL","PASTA"
"172","Blíster 4 Bolígrafo Ink Joy Retráctil Paper Mate",2190,"NACIONAL","PASTA"
"173","Blister 5 Bolígrafos Glitter Gel Artel",2790,"NACIONAL","PASTA"
"174","Blíster 6 Bolígrafo Punta Fina Bic",2390,"NACIONAL","PASTA"
"175","Blíster 6 Bolígrafos Fx Artel",1890,"NACIONAL","PASTA"
"176","Blíster 8 Bolígrafo Joy Retráctil Paper Mate",4390,"NACIONAL","PASTA"
"177","Blister Bolígrafo Frixion Borrable Azul Pilot",3290,"NACIONAL","PASTA"
"178","Blister Bolígrafo Frixion Borrable Negro Pilot",3290,"NACIONAL","PASTA"
"179","Blíster Bolígrafo Ink Joy Paper Mate",2790,"NACIONAL","PASTA"
"180","Blister Bolígrafo Lleve 8 Pague 6 Paper Mate",3590,"NACIONAL","PASTA"
"181","Blíster Corrector Mini 3 Unidades Liquid Paper",3890,"NACIONAL","PASTA"
"182","Blíster Energel Makkuro 0,7mm. Colores Surtidos Pentel",1390,"NACIONAL","PASTA"
"183","Blíster Mate Pack Universitario Pack Paper ",3990,"NACIONAL","PASTA"
"184","Blíster Set Universitario Artel",1890,"NACIONAL","PASTA"
"185","Bolígrafo 4 En 1 Color Clásico Paper Mate",1890,"NACIONAL","PASTA"
"186","Bolígrafo 4 En 1 Color Fashion Paper Mate",1890,"NACIONAL","PASTA"
"187","Bolígrafo Fan Violeta Artel ",490,"NACIONAL","PASTA"
"188","Bolígrafo Frixion Point 0,5mm. Surtido Pilot",3290,"NACIONAL","PASTA"
"189","Bolígrafo Frixion Point Azul 0,5mm. Pilot",3290,"NACIONAL","PASTA"
"190","Bolígrafo Frixion Point Negro 0,5mm. Pilot ",3290,"NACIONAL","PASTA"
"191","Bolígrafo Frixion Surtidos Pilot",3290,"NACIONAL","PASTA"
"192","Bolígrafo Fx2 Azul 1mm. Artel ",790,"NACIONAL","PASTA"
"193","Bolígrafo Fx2 Negro 1mm. Artel ",790,"NACIONAL","PASTA"
"194","GOMA DE BORRAR  PLASTICA  LEGACY GRANDE  526-50         STABILO",490,"DIMEIGGS","GOMA"
"195","GOMA DE BORRAR  PLASTICA  COLORES  PASTEL  GRANDE         LAVORO",490,"DIMEIGGS","GOMA"
"196","GOMA DE BORRAR  PLASTICA  EN BLISTER    3  UNIDADES      STABILO",990,"DIMEIGGS","GOMA"
"197","GOMA DE BORRAR  MIGA  COLORES  PASTEL  RECTANGULAR         LAVORO",450,"DIMEIGGS","GOMA"
"198","GOMA DE BORRAR  PLASTICA  EN BLISTER  7085-20         FABER CASTELL",1290,"DIMEIGGS","GOMA"
"199","GOMA DE BORRAR  MIGA  OFFICE  GRANDE  4  B     MURANO",210,"DIMEIGGS","GOMA"
"200","GOMA DE BORRAR  PLASTICA  CHICA  526-30         MURANO",130,"DIMEIGGS","GOMA"
"201","GOMA DE BORRAR  PLASTICA  GRANDE           TORRE",390,"DIMEIGGS","GOMA"
"202","GOMA DE BORRAR  PLASTICA  GRANDE  526-50         MURANO",210,"DIMEIGGS","GOMA"
"203","GOMA DE BORRAR  MIGA  EN BLISTER  GRANDE         MURANO",990,"DIMEIGGS","GOMA"
"204","GOMA DE BORRAR  MIGA  COLORES  PASTEL    6  B     LAVORO",450,"DIMEIGGS","GOMA"
"205","GOMA DE BORRAR  PLASTICA    7085-20         FABER CASTELL",890,"DIMEIGGS","GOMA"
"206","GOMA DE BORRAR  MIGA    MEDIANA         MURANO",90,"DIMEIGGS","GOMA"
"207","GOMA DE BORRAR  MIGA    GRANDE         MURANO",150,"DIMEIGGS","GOMA"
"208","GOMA DE BORRAR  MIGA    GRANDE         MURANO",390,"DIMEIGGS","GOMA"
"209","GOMA DE BORRAR  MIGA    CHICA         MURANO",70,"DIMEIGGS","GOMA"
"210","CINTA CORRECTORA CON GOMA DE BORRAR ",1390,"DIMEIGGS","GOMA"
"211","Blister 1 Goma S20 Miga Pan Suavizada Factis ",590,"NACIONAL","GOMA"
"212","Blister 2 Gomas de Borrar 36R Factis",790,"NACIONAL","GOMA"
"213","Blister 3 Gomas de Borrar Minisofty",990,"NACIONAL","GOMA"
"214","Blister 3 Gomas de Borrar Technic 300 Maped",1090,"NACIONAL","GOMA"
"215","Blister Goma de Borrar Gom Stick Maped",1090,"NACIONAL","GOMA"
"216","Blister Portagoma + Repuesto Maped",1990,"NACIONAL","GOMA"
"217","Blíster Sacapunta + Goma Copper Rosa Milan",2490,"NACIONAL","GOMA"
"218","Goma de Borrar P20 Factis",490,"NACIONAL","GOMA"
"219","Goma de Borrar S20 Factis",690,"NACIONAL","GOMA"
"220","Goma de Borrar XL Factis",1090,"NACIONAL","GOMA"
"221","Set 2 Gomas De Borrar S20 Factis",1090,"NACIONAL","GOMA"
"222","Blíster Sacapunta + Goma + 2 Respuestos Silver Milan",2990,"NACIONAL","GOMA"
"223","Blíster Sacapunta + Goma Copper Negro Milan",2490,"NACIONAL","GOMA"
"224","Blíster Sacapunta + Goma Look Colores Milan",1990,"NACIONAL","GOMA"
"225","PEGAMENTO  EN BARRA   20  GRAMOS          PRITT",890,"DIMEIGGS","PEGAMENTO"
"226","PEGAMENTO  EN BARRA   36  GRAMOS          TORRE",890,"DIMEIGGS","PEGAMENTO"
"227","PEGAMENTO  EN BARRA   40  GRAMOS          PRITT",1390,"DIMEIGGS","PEGAMENTO"
"228","Adhesivo En Barra 21gr. Uhu ",1090,"NACIONAL","PEGAMENTO"
"229","Adhesivo En Barra 40gr. Uhu ",1490,"NACIONAL","PEGAMENTO"
"230","Adhesivo Instántaneo 2ml. La Gotita ",2990,"NACIONAL","PEGAMENTO"
"231","Adhesivo Instántaneo Gel 3gr. La Gotita ",3190,"NACIONAL","PEGAMENTO"
"232","Agorex Transparente 120cc. Henkel",5490,"NACIONAL","PEGAMENTO"
"233","Blister 3 Pegamento en Barra 15grs. Artel",1490,"NACIONAL","PEGAMENTO"
"234","Blister 4 Pegamento en Barra 6grs. Artel",1290,"NACIONAL","PEGAMENTO"
"235","Cemento Caucho 236ml. Artel",4990,"NACIONAL","PEGAMENTO"
"236","CINTA ADHESIVA ARTEL 18mm 30m",790,"NACIONAL","PEGAMENTO"
"237","Cinta Adhesiva Mágica Con Dispensador 18mm. 20mt. 3M",2790,"NACIONAL","PEGAMENTO"
"238","Cinta Cristal 19mm.x20mt. 3M",1790,"NACIONAL","PEGAMENTO"
"239","Cinta Embalaje Café 48mm.X40mt. 3M",1190,"NACIONAL","PEGAMENTO"
"240","Cinta Embalaje Transparente 48mm.X40mt. 3M",1190,"NACIONAL","PEGAMENTO"
"241","Cinta Embalaje Transparente Rollo 48Mmx40Mt Artel",1190,"NACIONAL","PEGAMENTO"
"242","Cinta Embalar Café Rollo 48mm. 40mt. Artel",1090,"NACIONAL","PEGAMENTO"
"243","Cinta Magica 19mm. 10mt. 3M",1790,"NACIONAL","PEGAMENTO"
"244","Cinta Magica 810 19mm. 25mt. 3M",3690,"NACIONAL","PEGAMENTO"
"245","Cola Fría 120grs. Artel",790,"NACIONAL","PEGAMENTO"
"246","Cola Fría 1kg. Artel",3690,"NACIONAL","PEGAMENTO"
"247","Cola Fría 225grs. Artel",1290,"NACIONAL","PEGAMENTO"
"248","Cola Fría 40grs. Artel",390,"NACIONAL","PEGAMENTO"
"249","Cola Fría 450grs. Artel",1690,"NACIONAL","PEGAMENTO"
"250","Pack 3 Cintas 500 Transparente 18mm. 30mt. 3M",2090,"NACIONAL","PEGAMENTO"
"251","Patafix Amarillo Masilla Adhesiva UHU",1990,"NACIONAL","PEGAMENTO"
"252","Pegamento en Barra 115grs. Artel",2590,"NACIONAL","PEGAMENTO"
"253","Pegamento en Barra 21grs. Artel",690,"NACIONAL","PEGAMENTO"
"254","Pegamento en Barra 36grs. Artel",1090,"NACIONAL","PEGAMENTO"
"255","Pegamento en Barra 8grs. Artel",490,"NACIONAL","PEGAMENTO"
"256","Pegamento en Barra Triangular 12grs. Artel",790,"NACIONAL","PEGAMENTO"
"257","Pegamento Glitter Morado 177ml. Elmers",2990,"NACIONAL","PEGAMENTO"
